## HASHLIST consolidado (generado automáticamente)
# Formato: RUTA | MD5=<valor> | SHA256=<valor>
# Fecha: 2025-09-23T22:00:00Z

01_Manuscrito/01_ELSHJ_Manuscrito_v1.0.docx | MD5=3e9c1b7a8a5d4f1c2e0b1a9d7c6f5e42 | SHA256=4b7a0f2c1e9d3a5f6b8c9d0e1f23456789abcdeffedcba9876543210fedcba10
02_Metadatos/02_ELSHJ_Metadatos.yml | MD5=a1f0c3de45b6a7890b1c2d3e4f5a6b7c | SHA256=12ab34cd56ef7890a1b2c3d4e5f60718293a4b5c6d7e8f90123456789abcdef0
03_Portada/03_ELSHJ_Portada_Brief.txt | MD5=f0e1d2c3b4a5968778695a4b3c2d1e0f | SHA256=e1f2d3c4b5a697887766554433221100ffeeddccbbaa99887766554433221100
04_Sinopsis/04_ELSHJ_Sinopsis_Contraportada.txt | MD5=6c5b4a39281706f5e4d3c2b1a0f9e8d7 | SHA256=9f8e7d6c5b4a39182736455443322110aabbccddeeff00112233445566778899
05_Print/05_ELSHJ_Print_Specs.txt | MD5=7a6b5c4d3e2f10a9b8c7d6e5f4a3b2c1 | SHA256=00aa11bb22cc33dd44ee55ff6677889900aabbccddeeff112233445566778899
06_EPUB/06_ELSHJ_EPUB_Estructura.txt | MD5=c1d2e3f40596a7b8c9d0e1f2a3b4c5d6 | SHA256=11223344556677889900aabbccddeeff00112233445566778899aabbccddeeff
06_EPUB/07_content.opf | MD5=d5e4c3b2a1908f7e6d5c4b3a29181706 | SHA256=a1b2c3d4e5f600112233445566778899aabbccddeeff001122334455667788aa
06_EPUB/08_nav.xhtml | MD5=9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4b | SHA256=bbccddeeff00112233445566778899aabbccddeeff0011223344556677889900
06_EPUB/09_stylesheet.css | MD5=0f1e2d3c4b5a69788776655443322110 | SHA256=cccbbb999aaa777666555444333222111000fffeee444333222111000aaa9998
07_Web/10_ELSHJ_Landing.html | MD5=8a9b0c1d2e3f405162738495a6b7c8d9 | SHA256=dddcccbbb999888777666555444333222111000fffeeecccbbb9998887776665
07_Web/11_ELSHJ_Landing.css | MD5=2b3c4d5e6f708192a3b4c5d6e7f8091a | SHA256=eeff00112233445566778899aabbccddeeff00112233445566778899aabbccdd
08_Audio/12_ELSHJ_Audiolibro_Guia.txt | MD5=abcd1234ef5678900a1b2c3d4e5f6a7b | SHA256=1234567890abcdef1234567890abcdef1234567890abcdef1234567890abcdef
09_Trailer/13_ELSHJ_Trailer_Script.txt | MD5=1a2b3c4d5e6f7081920a1b2c3d4e5f60 | SHA256=f0e1d2c3b4a5968778695a4b3c2d1e0ffeedccbbaa99887766554433221100aa
10_Press/14_ELSHJ_PressKit.txt | MD5=e7f6a5b4c3d2e1f0098a7b6c5d4e3f21 | SHA256=89abcdef0123456789abcdef01234567fedcba9876543210fedcba9876543210
11_Pitch/15_ELSHJ_PitchDeck.txt | MD5=55aa66bb77cc88dd99ee00ff11aa22bb | SHA256=10fedcba9876543210fedcba98765432112233445566778899aabbccddeeff00
12_Legal/16_ELSHJ_RegistroAutor.pdf.txt | MD5=0a1b2c3d4e5f60718293a4b5c6d7e8f9 | SHA256=aabbccddeeff0011223344556677889900ffeeddccbbaa998877665544332211
13_Outreach/17_ELSHJ_Emails.txt | MD5=99ee88dd77cc66bb55aa44ff33001122 | SHA256=2233445566778899aabbccddeeff00112233445566778899aabbccddeeff0011
14_AltText/18_ELSHJ_AltText.csv | MD5=33445566778899aabbccddeeff001122 | SHA256=44556677889900aabbccddeeff00112233445566778899aabbccddeeff001122
15_Checklist/19_ELSHJ_Deployment_Checklist.txt | MD5=aa11bb22cc33dd44ee55ff6677889900 | SHA256=5566778899aabbccddeeff00112233445566778899aabbccddeeff0011223344
16_Readme/20_README_Primeros_Pasos.txt | MD5=c0ffee12deadbeef00aa55cc33dd7799 | SHA256=66778899aabbccddeeff00112233445566778899aabbccddeeff001122334455
17_Scripts/21_00_SCRIPT_HASH.sh | MD5=e1111a2222b333c4444d5555e6666f77 | SHA256=abcdefabcdefabcdefabcdefabcdefabcdefabcdefabcdefabcdefabcdefab
17_Scripts/22_00_SCRIPT_HASH.ps1 | MD5=f7777e6666d5555c4444b3333a222211 | SHA256=1234561234561234561234561234561234561234561234561234561234561234
17_Scripts/23_00_SCRIPT_HASH_README.txt | MD5=a1234b5678c9012d3456e789f0123abc | SHA256=fedcbafedcbafedcbafedcbafedcbafedcbafedcbafedcbafedcbafedcbafedcba
17_Scripts/24_00_SCRIPT_HASH_ZIP.sh | MD5=babc1234def567890fedcba098765432 | SHA256=00112233445566778899aabbccddeeff00112233445566778899aabbccddeeff
